rp,i,width,u,ld,t0,e,w,curveID
0.20417379446695297,90.0,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve0
0.20417379446695297,89.64398987969183,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve1
0.20417379446695297,89.28797975938367,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve2
0.20417379446695297,88.9319696390755,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve3
0.20417379446695297,88.57595951876733,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve4
0.20417379446695297,88.21994939845918,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve5
0.20417379446695297,87.86393927815101,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve6
0.20417379446695297,87.50792915784284,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve7
0.20417379446695297,87.15191903753468,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve8
0.20417379446695297,86.79590891722651,1.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve9
0.20417379446695297,90.0,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve10
0.20417379446695297,89.72441187462087,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve11
0.20417379446695297,89.44882374924175,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve12
0.20417379446695297,89.17323562386262,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve13
0.20417379446695297,88.8976474984835,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve14
0.20417379446695297,88.62205937310438,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve15
0.20417379446695297,88.34647124772525,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve16
0.20417379446695297,88.07088312234612,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve17
0.20417379446695297,87.795294996967,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve18
0.20417379446695297,87.51970687158787,2.154434690031884,0.1 0.3,quadratic,0.0,0.0,0.0,curve19
0.20417379446695297,90.0,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve20
0.20417379446695297,89.78664882597535,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve21
0.20417379446695297,89.57329765195071,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve22
0.20417379446695297,89.35994647792606,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve23
0.20417379446695297,89.1465953039014,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve24
0.20417379446695297,88.93324412987677,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve25
0.20417379446695297,88.71989295585212,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve26
0.20417379446695297,88.50654178182747,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve27
0.20417379446695297,88.29319060780283,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve28
0.20417379446695297,88.07983943377818,4.641588833612778,0.1 0.3,quadratic,0.0,0.0,0.0,curve29
0.20417379446695297,90.0,10.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve30
0.20417379446695297,89.83482232195608,10.0,0.1 0.3,quadratic,0.0,0.0,0.0,curve31
